forecast_date,target_end_date,quantile,value,target
2021-12-04,2021-12-11,0.01,3555,1 wk ahead inc case
2021-12-04,2021-12-11,0.025,6475,1 wk ahead inc case
2021-12-04,2021-12-11,0.05,10834,1 wk ahead inc case
2021-12-04,2021-12-11,0.1,17544,1 wk ahead inc case
2021-12-04,2021-12-11,0.15,22867,1 wk ahead inc case
2021-12-04,2021-12-11,0.2,27355,1 wk ahead inc case
2021-12-04,2021-12-11,0.25,32108,1 wk ahead inc case
2021-12-04,2021-12-11,0.3,35875,1 wk ahead inc case
2021-12-04,2021-12-11,0.35,40422,1 wk ahead inc case
2021-12-04,2021-12-11,0.4,44684,1 wk ahead inc case
2021-12-04,2021-12-11,0.45,49017,1 wk ahead inc case
2021-12-04,2021-12-11,0.5,52689,1 wk ahead inc case
2021-12-04,2021-12-11,0.55,56813,1 wk ahead inc case
2021-12-04,2021-12-11,0.6,62050,1 wk ahead inc case
2021-12-04,2021-12-11,0.65,67578,1 wk ahead inc case
2021-12-04,2021-12-11,0.7,74247,1 wk ahead inc case
2021-12-04,2021-12-11,0.75,82600,1 wk ahead inc case
2021-12-04,2021-12-11,0.8,94089,1 wk ahead inc case
2021-12-04,2021-12-11,0.85,107806,1 wk ahead inc case
2021-12-04,2021-12-11,0.9,135033,1 wk ahead inc case
2021-12-04,2021-12-11,0.95,187091,1 wk ahead inc case
2021-12-04,2021-12-11,0.975,265255,1 wk ahead inc case
2021-12-04,2021-12-11,0.99,394608,1 wk ahead inc case
2021-12-04,2021-12-18,0.01,2289,2 wk ahead inc case
2021-12-04,2021-12-18,0.025,5021,2 wk ahead inc case
2021-12-04,2021-12-18,0.05,8994,2 wk ahead inc case
2021-12-04,2021-12-18,0.1,15139,2 wk ahead inc case
2021-12-04,2021-12-18,0.15,20416,2 wk ahead inc case
2021-12-04,2021-12-18,0.2,25992,2 wk ahead inc case
2021-12-04,2021-12-18,0.25,31120,2 wk ahead inc case
2021-12-04,2021-12-18,0.3,36345,2 wk ahead inc case
2021-12-04,2021-12-18,0.35,41872,2 wk ahead inc case
2021-12-04,2021-12-18,0.4,47254,2 wk ahead inc case
2021-12-04,2021-12-18,0.45,53662,2 wk ahead inc case
2021-12-04,2021-12-18,0.5,59296,2 wk ahead inc case
2021-12-04,2021-12-18,0.55,65605,2 wk ahead inc case
2021-12-04,2021-12-18,0.6,74336,2 wk ahead inc case
2021-12-04,2021-12-18,0.65,81795,2 wk ahead inc case
2021-12-04,2021-12-18,0.7,92229,2 wk ahead inc case
2021-12-04,2021-12-18,0.75,106510,2 wk ahead inc case
2021-12-04,2021-12-18,0.8,123985,2 wk ahead inc case
2021-12-04,2021-12-18,0.85,150003,2 wk ahead inc case
2021-12-04,2021-12-18,0.9,198737,2 wk ahead inc case
2021-12-04,2021-12-18,0.95,312480,2 wk ahead inc case
2021-12-04,2021-12-18,0.975,476390,2 wk ahead inc case
2021-12-04,2021-12-18,0.99,809181,2 wk ahead inc case
2021-12-04,2021-12-25,0.01,989,3 wk ahead inc case
2021-12-04,2021-12-25,0.025,2978,3 wk ahead inc case
2021-12-04,2021-12-25,0.05,6141,3 wk ahead inc case
2021-12-04,2021-12-25,0.1,11363,3 wk ahead inc case
2021-12-04,2021-12-25,0.15,16520,3 wk ahead inc case
2021-12-04,2021-12-25,0.2,22435,3 wk ahead inc case
2021-12-04,2021-12-25,0.25,28349,3 wk ahead inc case
2021-12-04,2021-12-25,0.3,35272,3 wk ahead inc case
2021-12-04,2021-12-25,0.35,42242,3 wk ahead inc case
2021-12-04,2021-12-25,0.4,48992,3 wk ahead inc case
2021-12-04,2021-12-25,0.45,57535,3 wk ahead inc case
2021-12-04,2021-12-25,0.5,66100,3 wk ahead inc case
2021-12-04,2021-12-25,0.55,75008,3 wk ahead inc case
2021-12-04,2021-12-25,0.6,84820,3 wk ahead inc case
2021-12-04,2021-12-25,0.65,97473,3 wk ahead inc case
2021-12-04,2021-12-25,0.7,111409,3 wk ahead inc case
2021-12-04,2021-12-25,0.75,133786,3 wk ahead inc case
2021-12-04,2021-12-25,0.8,161061,3 wk ahead inc case
2021-12-04,2021-12-25,0.85,208033,3 wk ahead inc case
2021-12-04,2021-12-25,0.9,301074,3 wk ahead inc case
2021-12-04,2021-12-25,0.95,588490,3 wk ahead inc case
2021-12-04,2021-12-25,0.975,1152004,3 wk ahead inc case
2021-12-04,2021-12-25,0.99,2906791,3 wk ahead inc case
2021-12-04,2022-01-01,0.01,233,4 wk ahead inc case
2021-12-04,2022-01-01,0.025,1242,4 wk ahead inc case
2021-12-04,2022-01-01,0.05,3528,4 wk ahead inc case
2021-12-04,2022-01-01,0.1,8255,4 wk ahead inc case
2021-12-04,2022-01-01,0.15,14183,4 wk ahead inc case
2021-12-04,2022-01-01,0.2,20552,4 wk ahead inc case
2021-12-04,2022-01-01,0.25,27188,4 wk ahead inc case
2021-12-04,2022-01-01,0.3,34901,4 wk ahead inc case
2021-12-04,2022-01-01,0.35,42473,4 wk ahead inc case
2021-12-04,2022-01-01,0.4,51660,4 wk ahead inc case
2021-12-04,2022-01-01,0.45,60633,4 wk ahead inc case
2021-12-04,2022-01-01,0.5,72098,4 wk ahead inc case
2021-12-04,2022-01-01,0.55,84884,4 wk ahead inc case
2021-12-04,2022-01-01,0.6,99742,4 wk ahead inc case
2021-12-04,2022-01-01,0.65,117632,4 wk ahead inc case
2021-12-04,2022-01-01,0.7,139087,4 wk ahead inc case
2021-12-04,2022-01-01,0.75,170368,4 wk ahead inc case
2021-12-04,2022-01-01,0.8,212665,4 wk ahead inc case
2021-12-04,2022-01-01,0.85,292204,4 wk ahead inc case
2021-12-04,2022-01-01,0.9,472595,4 wk ahead inc case
2021-12-04,2022-01-01,0.95,1195140,4 wk ahead inc case
2021-12-04,2022-01-01,0.975,2785072,4 wk ahead inc case
2021-12-04,2022-01-01,0.99,10945964,4 wk ahead inc case
